Occurred At,Excel Selling Date,Unix Timestamp Seconds,Unix Timestamp Millis,Unix Timestamp Micros,Compact Date,Compact Period,Period,Quarter,Year,Month,Day,Order ID,Customer ID,SKU,Revenue USD,Amount Text,Accounting Amount,Quantity,Unit Price,Discount Percent,VAT,Region,Status,Notes
2026-01-01 09:30:00,44562,1704067200,1704067200000,1704067200000000,20260101,202601,2026-01,Q1 2026,2026,1,1,ORD-000001,00001001,SKU-00123,"$1,234.50","1,234.50","1,234.50 CR",2,617.25,0,0,East Coast,Complete,normal sale
02/01/2026 15:42,44563,1704153600,1704153600000,1704153600000000,20260102,202602,2026-02,2026-Q1,2026,1,2,ORD-000002,00001002,SKU-00124,"NGN 2,345.67","2.345,67","2,345.67 DR",3,781.89,5,7.5,east coast,Complete,regional currency
2026-01-03T08:15:00,44564,1704240000,1704240000000,1704240000000000,20260103,202603,2026/03,Q1-2026,2026,1,3,ORD-000003,00001003,SKU-00125,1.25e3,1250,"1.234.567,89",5,250,0,0,E. Coast,Pending,scientific KPI
4-Jan-2026,44565,1704326400,1704326400000,1704326400000000,20260104,202601,Jan-2026,Q1 2026,2026,1,4,ORD-000004,00001004,SKU-00126,"(1,250.00)",-1250,"1,250-",1,1250,0,0,EAST COAST,Refund,accounting negative
"January 5, 2026 12:00 PM",44566,1704412800,1704412800000,1704412800000000,20260105,202601,2026-01,Q1 2026,2026,1,5,ORD-000005,00001005,SKU-00127,"€3.000,50","3.000,50","1.25e3",6,500.08,10,20,West,Complete,European separators
06/01/2026 10:05,44567,1704499200,1704499200000,1704499200000000,20260106,202601,2026-01,Q1 2026,2026,1,6,ORD-000006,00001006,SKU-00128,"1 500,75","1 500,75","2 000 DR",3,500.25,0,0,west,Complete,space grouping
2026/01/07 20:18,44568,1704585600,1704585600000,1704585600000000,20260107,202601,2026-01,Q1 2026,2026,1,7,ORD-000007,00001007,SKU-00129,0001750.00,0001750.00,"1.000.000",7,250,2.5,5,North,Complete,leading-zero monetary text
08 January 2026,44569,1704672000,1704672000000,1704672000000000,20260108,202601,January 2026,Q1 2026,2026,1,8,ORD-000008,00001008,SKU-00130,"USD 920.40",920.40,"50 CR",4,230.10,0,0,North,Complete,currency code
2026-01-09 14:20:45,44570,1704758400,1704758400000,1704758400000000,20260109,202601,2026-01,Q1 2026,2026,1,9,ORD-000009,00001009,SKU-00131,"£99.99",99.99,99.99,1,99.99,0,0,South,Complete,small transaction
10/01/2026 07:15,44571,1704844800,1704844800000,1704844800000000,20260110,202601,2026-01,Q1 2026,2026,1,10,ORD-000010,00001010,SKU-00132,"4.20E+03",4200,"4.20E+03",8,525,0,0,South,Complete,uppercase scientific notation
2026-01-11,44572,1704931200,1704931200000,1704931200000000,20260111,202601,2026-01,Q1 2026,2026,1,11,ORD-000011,00001011,SKU-00133,"1,000",1000,0,2,500,0,0,Central,Complete,integer grouping
12-Jan-2026 16:45,44573,1705017600,1705017600000,1705017600000000,20260112,202601,2026-01,Q1 2026,2026,1,12,ORD-000012,00001012,SKU-00134,"$2,050.25",2050.25,"2,050.25",2.05K,5,410.05,3,5,Central,Complete,discount and tax
